Atom_Key,Element,Oxidation_State,Atomic_Number,radii,Ionization_Energy,Electronegativity,Electron_Affinity,Atomic_Volume,HOMO,LUMO,Zunger_Radius,Group,Period,Block,Melting_Point,Boiling_Point,Thermal_Conductivity
Ca2+,Ca,2,20,1.34,589.8278055,1,2.368803235,26.2,-3.768,-1.948,3,2,4,s,1115,1757,200
Cd2+,Cd,2,48,1.31,867.7687227,1.69,-69.4692,13,-5.659,-1.181,2.215,12,5,d,594.22,1040,97
Ce3+,Ce,3,58,1.34,534.391821,1.12,57.90646365,20.69,0,0,4.5,3,6,f,1068,3633,11
Ce4+,Ce,4,58,1.14,534.391821,1.12,57.90646365,20.69,0,0,4.5,3,6,f,1068,3633,11
Co2+,Co,2,27,0.9,760.3992498,1.88,63.89771902,6.67,-4.436,-0.84,2.02,9,4,d,1768,3200,100
Co3+,Co,3,27,0.61,760.3992498,1.88,63.89771902,6.67,-4.436,-0.84,2.02,9,4,d,1768,3200,100
Co4+,Co,4,27,0.53,760.3992498,1.88,63.89771902,6.67,-4.436,-0.84,2.02,9,4,d,1768,3200,100
Cr2+,Cr,2,24,0.8,652.8667174,1.66,65.21693913,7.23,-4.417,-4.352,2.44,6,4,d,2180,2944,94
Cr3+,Cr,3,24,0.615,652.8667174,1.66,65.21693913,7.23,-4.417,-4.352,2.44,6,4,d,2180,2944,94
Cr4+,Cr,4,24,0.55,652.8667174,1.66,65.21693913,7.23,-4.417,-4.352,2.44,6,4,d,2180,2944,94
Cr5+,Cr,5,24,0.57,652.8667174,1.66,65.21693913,7.23,-4.417,-4.352,2.44,6,4,d,2180,2944,94
Cr6+,Cr,6,24,0.44,652.8667174,1.66,65.21693913,7.23,-4.417,-4.352,2.44,6,4,d,2180,2944,94
Cs1+,Cs,1,55,1.88,375.7034941,0.79,45.50216564,70.94,-2.109,-0.722,4.31,1,6,s,301.59,944,36
Cu1+,Cu,1,29,0.77,745.4797743,1.9,119.2346192,7.11,-4.613,-0.692,2.04,11,4,d,1357.77,3200,400
